"","Date","Open","High","Low","Close","Volume","Company","shifted"
"1",2021-03-15,121.410004,124,120.419998,123.989998,92403800,"Apple",125.57
"2",2021-03-16,125.699997,127.220001,124.720001,125.57,115227900,"Apple",124.760002
"3",2021-03-17,124.050003,125.860001,122.339996,124.760002,111932600,"Apple",120.529999
"4",2021-03-18,122.879997,123.18,120.32,120.529999,121229700,"Apple",119.989998
"5",2021-03-19,119.900002,121.43,119.68,119.989998,185549500,"Apple",123.389999
"6",2021-03-22,120.330002,123.870003,120.260002,123.389999,111912300,"Apple",122.540001
"7",2021-03-23,123.330002,124.239998,122.139999,122.540001,95467100,"Apple",120.089996
"8",2021-03-24,122.82,122.900002,120.07,120.089996,88530500,"Apple",120.589996
"9",2021-03-25,119.540001,121.660004,119,120.589996,98844700,"Apple",121.209999
"10",2021-03-26,120.349998,121.480003,118.919998,121.209999,94071200,"Apple",121.389999
"11",2021-03-29,121.650002,122.580002,120.730003,121.389999,80819200,"Apple",119.900002
"12",2021-03-30,120.110001,120.400002,118.860001,119.900002,85671900,"Apple",122.150002
"13",2021-03-31,121.650002,123.519997,121.150002,122.150002,118323800,"Apple",123
"14",2021-04-01,123.660004,124.18,122.489998,123,75089100,"Apple",125.900002
"15",2021-04-05,123.870003,126.160004,123.07,125.900002,88651200,"Apple",126.209999
"16",2021-04-06,126.5,127.129997,125.650002,126.209999,80171300,"Apple",127.900002
"17",2021-04-07,125.830002,127.919998,125.139999,127.900002,83466700,"Apple",130.360001
"18",2021-04-08,128.949997,130.389999,128.520004,130.360001,88844600,"Apple",133
"19",2021-04-09,129.800003,133.039993,129.470001,133,106686700,"Apple",131.240005
"20",2021-04-12,132.520004,132.850006,130.630005,131.240005,91420000,"Apple",134.429993
"21",2021-04-13,132.440002,134.660004,131.929993,134.429993,91266500,"Apple",132.029999
"22",2021-04-14,134.940002,135,131.660004,132.029999,87222800,"Apple",134.5
"23",2021-04-15,133.820007,135,133.639999,134.5,89347100,"Apple",134.160004
"24",2021-04-16,134.300003,134.669998,133.279999,134.160004,84922400,"Apple",134.839996
"25",2021-04-19,133.509995,135.470001,133.339996,134.839996,94264200,"Apple",133.110001
"26",2021-04-20,135.020004,135.529999,131.809998,133.110001,94812300,"Apple",133.5
"27",2021-04-21,132.360001,133.75,131.300003,133.5,68847100,"Apple",131.940002
"28",2021-04-22,133.039993,134.149994,131.410004,131.940002,84566500,"Apple",134.320007
"29",2021-04-23,132.160004,135.119995,132.160004,134.320007,78657500,"Apple",134.720001
"30",2021-04-26,134.830002,135.059998,133.559998,134.720001,66905100,"Apple",134.389999
"31",2021-04-27,135.009995,135.410004,134.110001,134.389999,66015800,"Apple",133.580002
"32",2021-04-28,134.309998,135.020004,133.080002,133.580002,107760100,"Apple",133.479996
"33",2021-04-29,136.470001,137.070007,132.449997,133.479996,151101000,"Apple",131.460007
"34",2021-04-30,131.779999,133.559998,131.070007,131.460007,109839500,"Apple",132.539993
"35",2021-05-03,132.039993,134.070007,131.830002,132.539993,75135100,"Apple",127.849998
"36",2021-05-04,131.190002,131.490005,126.699997,127.849998,137564700,"Apple",128.100006
"37",2021-05-05,129.199997,130.449997,127.970001,128.100006,84000900,"Apple",129.740005
"38",2021-05-06,127.889999,129.75,127.129997,129.740005,78128300,"Apple",130.210007
"39",2021-05-07,130.850006,131.259995,129.479996,130.210007,78973300,"Apple",126.849998
"40",2021-05-10,129.410004,129.539993,126.809998,126.849998,88071200,"Apple",125.910004
"41",2021-05-11,123.5,126.269997,122.769997,125.910004,126142800,"Apple",122.769997
"42",2021-05-12,123.400002,124.639999,122.25,122.769997,112172300,"Apple",124.970001
"43",2021-05-13,124.580002,126.150002,124.260002,124.970001,105861300,"Apple",127.449997
"44",2021-05-14,126.25,127.889999,125.849998,127.449997,81918000,"Apple",126.269997
"45",2021-05-17,126.82,126.93,125.169998,126.269997,74244600,"Apple",124.849998
"46",2021-05-18,126.559998,126.989998,124.779999,124.849998,63342900,"Apple",124.690002
"47",2021-05-19,123.160004,124.919998,122.860001,124.690002,92612000,"Apple",127.309998
"48",2021-05-20,125.230003,127.720001,125.099998,127.309998,76857100,"Apple",125.43
"49",2021-05-21,127.82,128,125.209999,125.43,79295400,"Apple",127.099998
"50",2021-05-24,126.010002,127.940002,125.940002,127.099998,63092900,"Apple",126.900002
"51",2021-05-25,127.82,128.320007,126.32,126.900002,72009500,"Apple",126.849998
"52",2021-05-26,126.959999,127.389999,126.419998,126.849998,56575900,"Apple",125.279999
"53",2021-05-27,126.440002,127.639999,125.080002,125.279999,94625600,"Apple",124.610001
"54",2021-05-28,125.57,125.800003,124.550003,124.610001,71311100,"Apple",124.279999
"55",2021-06-01,125.080002,125.349998,123.940002,124.279999,67637100,"Apple",125.059998
"56",2021-06-02,124.279999,125.239998,124.050003,125.059998,59278900,"Apple",123.540001
"57",2021-06-03,124.68,124.849998,123.129997,123.540001,76229200,"Apple",125.889999
"58",2021-06-04,124.07,126.160004,123.849998,125.889999,75169300,"Apple",125.900002
"59",2021-06-07,126.169998,126.32,124.830002,125.900002,71057600,"Apple",126.739998
"60",2021-06-08,126.599998,128.460007,126.209999,126.739998,74403800,"Apple",127.129997
"61",2021-06-09,127.209999,127.75,126.519997,127.129997,56877900,"Apple",126.110001
"62",2021-06-10,127.019997,128.190002,125.940002,126.110001,71186400,"Apple",127.349998
"63",2021-06-11,126.529999,127.440002,126.099998,127.349998,53522400,"Apple",130.479996
"64",2021-06-14,127.82,130.539993,127.07,130.479996,96906500,"Apple",129.639999
